,VOLTAGE,CLOCK,FOM,UTIL,POWER
0,0.7,20.0,7.576825792300561,0.845828,6.5625e-05
1,0.725,30.0,6.277614809037301,0.845872,8.15625e-05
2,0.75,60.0,4.419351772608611,0.8459166666666667,0.00011484375000000001
3,0.775,70.0,4.058072986299732,0.8459166666666667,0.00012303125
4,0.8,120.0,3.5498266271601784,0.845937,0.0001845
5,0.825,130.0,3.7088230629252203,0.84594,0.00020882812499999998
7,0.875,150.0,3.9478304210958455,0.8459432,0.00025648437500000004
6,0.85,140.0,3.8110858816742446,0.8459437142857142,0.00023109375
8,0.9,160.0,4.115273194174529,0.8459445,0.0002851875
9,0.925,170.0,4.263441988951693,0.8459454117647058,0.000313921875
11,0.975,190.0,4.598430762278769,0.8459467368421053,0.000378421875
10,0.95,180.0,4.4171897176825645,0.8459468888888889,0.00034437499999999995
13,1.025,200.0,5.043647607637552,0.8459478,0.00043690625
14,1.05,200.0,5.386358960413347,0.845948,0.00046659375
12,1.0,200.0,4.76911224644736,0.8459486,0.000413125
