,VOLTAGE,CLOCK,FOM,UTIL,POWER
0,0.7,20.0,4.916578586422101,0.838576,8.443749999999999e-05
1,0.725,30.0,3.7109849695563875,0.838668,9.560937499999999e-05
2,0.75,60.0,2.173965661383276,0.8387553333333333,0.00011203125000000002
3,0.775,80.0,1.9596997677070842,0.838778,0.00013465625
4,0.8,120.0,1.7609016745476003,0.8388036666666666,0.00018150000000000002
5,0.825,130.0,1.8424811772837142,0.838804,0.00020573437500000003
6,0.85,140.0,1.9085018159290832,0.8388071428571429,0.0002295
7,0.875,150.0,1.9864576724264955,0.8388096,0.0002559375
8,0.9,160.0,2.071040534143239,0.83881175,0.000284625
9,0.925,170.0,2.153803916468605,0.8388138823529412,0.00031450000000000006
10,0.95,180.0,2.231211309024515,0.8388157777777778,0.00034496874999999995
11,0.975,190.0,2.3262269845034975,0.8388166315789474,0.000379640625
13,1.025,200.0,2.554443156511193,0.838819,0.00043882812499999993
12,1.0,200.0,2.412099567686934,0.8388192,0.000414375
14,1.05,200.0,2.7237001125485145,0.8388216,0.00046790625
