104,105,105,105
105,105,105,105
104,105,105,105
102,103,104,104
108,108,108,107
109,109,109,108
106,106,107,107
101,102,102,101
105,105,106,106
103,103,103,103
105,106,106,106
107,107,107,106
106,106,106,106
108,108,108,108
107,108,108,108
107,107,107,106
107,107,107,107
108,108,108,108
107,107,107,107
106,106,106,106
109,110,110,110
106,107,106,106
101,102,102,102
105,105,104,104
107,107,107,107
106,106,106,106
106,106,106,105
102,102,103,102
104,105,105,105
105,105,105,105
100,101,101,101
106,106,106,106
