0,2,9,16,23,31,36,42,47,51,56,60,64,66,69,72,75
0,0,4,12,20,27,35,40,45,49,53,58,62,66,68,71,73
0,2,6,15,23,30,37,42,46,50,54,58,61,64,67,70,72
0,0,3,11,20,26,34,39,43,47,53,57,60,63,67,70,72
1,3,9,16,25,33,40,45,49,53,59,62,66,69,71,73,75
1,3,10,18,28,36,41,46,50,55,59,63,66,69,72,74,76
0,3,8,15,24,31,38,42,47,51,55,60,64,66,69,71,74
0,0,7,14,21,28,35,40,44,48,52,55,59,61,64,66,68
0,1,7,12,21,29,36,42,47,51,55,59,63,66,68,71,73
0,1,7,14,23,31,38,43,47,52,56,60,63,66,69,72,73
0,3,7,13,21,29,36,41,44,49,55,59,62,65,69,71,74
2,5,12,19,27,34,38,43,47,52,56,60,63,66,69,71,73
0,3,8,16,23,31,39,43,47,52,55,61,64,67,70,72,75
0,2,8,15,24,33,39,43,48,53,57,62,67,69,72,74,77
1,3,9,14,21,31,37,42,47,52,56,61,65,68,73,74,77
0,4,12,17,25,34,39,44,48,52,56,60,64,66,69,71,74
4,7,16,23,31,36,42,46,50,54,58,62,64,67,70,72,74
2,5,9,16,25,31,38,42,48,52,57,61,65,68,70,73,75
0,3,10,17,26,33,39,44,48,52,57,60,64,67,70,72,74
0,4,10,17,25,31,38,42,47,51,55,59,63,65,67,71,73
1,5,11,17,26,35,40,44,50,55,60,64,68,72,74,78,79
2,6,10,18,27,34,39,43,46,52,55,59,62,65,68,71,73
0,2,7,13,20,28,35,40,44,49,53,57,59,63,65,67,69
0,2,6,13,21,28,36,42,45,50,54,58,61,64,66,69,71
2,6,11,21,28,36,41,45,50,53,56,60,65,68,71,74,76
1,6,12,21,29,33,38,42,46,50,54,59,63,67,69,71,73
0,3,8,16,24,32,38,43,48,52,55,59,62,66,69,70,72
0,0,3,9,15,23,31,36,42,46,51,55,58,61,65,66,68
0,1,7,13,21,31,36,41,44,49,53,58,62,65,69,71,74
0,2,9,14,23,31,38,42,47,52,55,59,63,65,69,71,73
0,0,1,7,15,24,30,37,42,46,50,54,57,62,64,67,69
3,6,11,16,24,30,37,41,46,50,54,58,62,65,67,70,73
