,VOLTAGE,CLOCK,FOM,UTIL,POWER
0,0.7,20.0,2.9664207060277143,0.828158,0.00010062499999999999
1,0.725,30.0,2.1370749818290258,0.828244,0.00010874999999999999
2,0.75,60.0,1.0776327889210262,0.8283333333333334,0.0001096875
3,0.775,80.0,0.9636271922449086,0.828355,0.00013078125
4,0.8,120.0,0.8890747899411583,0.828379,0.000181
5,0.825,130.0,0.9258182944299037,0.8283809230769231,0.0002041875
6,0.85,140.0,0.9662581046378438,0.8283837142857143,0.0002295
7,0.875,150.0,1.0035778303418763,0.8283858666666667,0.000255390625
8,0.9,160.0,1.04855008190038,0.82838825,0.000284625
9,0.925,170.0,1.088447969026138,0.8283903529411765,0.000313921875
11,0.975,190.0,1.1777476245458953,0.8283938947368421,0.000379640625
14,1.05,200.0,1.3789913253488102,0.8283948,0.00046790625
13,1.025,200.0,1.2932930164863112,0.8283952,0.00043882812499999993
10,0.95,180.0,1.1296389382319705,0.8283953333333334,0.00034496874999999995
12,1.0,200.0,1.2212253600136818,0.8283956,0.000414375
