32,37,45,50,58,64,70,75,81,49,49,53,57,62,66,70,73,80
32,38,46,52,58,64,70,75,81,50,50,54,59,62,66,70,74,81
33,38,45,53,59,64,70,76,81,50,50,54,59,63,66,70,74,80
29,34,43,49,56,63,69,75,81,47,47,51,56,60,65,68,73,80
36,39,46,53,60,66,71,78,83,53,52,55,60,63,68,71,75,83
36,41,48,55,61,67,73,79,84,52,51,56,61,65,70,73,77,83
34,36,46,53,58,65,71,77,83,51,49,55,60,62,67,71,74,82
31,35,42,50,57,63,69,75,80,47,47,51,56,60,64,69,73,79
32,36,44,51,57,64,70,75,80,49,48,53,57,60,65,69,73,80
33,37,44,51,57,64,70,75,81,49,49,53,58,62,66,69,73,80
36,39,46,53,59,65,70,76,82,51,50,55,59,63,67,70,74,82
36,39,46,53,59,65,71,76,81,53,51,55,60,63,67,70,74,81
36,39,47,53,59,65,72,78,82,52,51,55,59,63,67,72,76,82
34,39,46,53,60,67,72,80,86,51,51,54,59,64,68,72,78,85
36,41,46,54,60,67,74,80,85,52,52,56,61,65,70,74,77,85
35,39,46,53,61,66,72,78,84,51,50,54,59,64,68,72,76,83
38,43,50,55,62,67,72,77,82,54,54,58,62,65,68,72,75,83
38,42,49,56,62,69,75,80,86,53,53,58,63,67,70,75,78,85
35,39,46,54,60,66,74,80,85,51,51,55,60,64,68,73,78,85
36,39,47,52,58,64,70,76,81,51,50,55,59,62,66,70,74,80
36,39,47,55,62,70,76,82,87,53,51,56,61,65,72,76,80,87
36,40,47,54,61,67,73,78,83,51,51,55,61,65,69,73,77,83
36,39,46,52,58,64,69,76,80,51,50,54,59,62,66,69,73,79
33,38,45,52,58,64,69,75,80,49,49,53,59,63,66,69,73,79
37,39,46,53,58,65,71,76,83,52,50,54,60,63,67,71,75,83
36,39,46,53,61,67,72,79,83,51,50,55,60,65,70,73,77,83
36,40,46,54,60,66,71,77,82,51,51,55,60,64,68,72,75,82
30,36,42,49,55,61,67,73,79,48,47,51,56,59,63,67,71,78
32,35,42,49,55,62,68,72,78,48,47,51,56,60,63,67,70,78
34,38,44,50,57,63,68,74,79,50,50,53,57,61,65,68,72,79
25,30,39,46,52,59,64,71,76,45,44,48,53,56,61,64,67,75
37,40,47,54,59,65,71,76,81,52,51,56,61,63,68,71,75,81
