55,55,60,63,67,70,74,76,78,82,84,85,88,90,92,93,94
53,54,57,60,64,68,71,73,77,79,81,84,86,88,89,92,93
56,56,59,62,66,70,73,77,79,82,85,87,89,90,92,94,95
53,54,57,60,63,67,69,72,74,77,81,83,85,87,88,90,91
52,52,55,58,61,65,68,71,74,78,80,83,84,86,87,88,90
52,52,55,60,64,68,71,74,77,79,83,86,88,89,91,94,95
56,57,60,63,67,70,74,77,79,82,86,88,90,90,93,95,95
53,53,56,60,63,66,70,73,76,79,81,82,84,87,88,89,90
50,50,53,56,60,64,68,71,76,77,80,83,84,85,87,89,91
49,49,52,56,60,62,65,68,71,73,76,78,80,81,82,84,85
50,50,53,57,61,64,67,71,73,76,80,82,85,87,88,91,91
51,51,55,59,62,66,70,72,74,77,78,81,83,85,86,89,90
53,53,57,60,64,67,70,74,75,78,81,83,85,86,88,90,92
54,54,58,62,65,67,72,76,79,81,83,86,87,89,92,92,94
50,50,54,58,61,64,68,72,75,77,79,81,83,85,86,88,90
55,55,58,62,65,69,72,75,78,80,83,85,87,88,91,92,93
52,52,55,59,62,65,69,72,75,77,82,83,86,87,89,90,91
52,52,54,57,61,64,67,70,74,76,78,79,81,83,84,86,87
57,57,60,64,66,71,74,76,79,81,83,86,88,89,91,92,94
51,51,54,57,60,63,66,70,73,76,78,81,84,85,86,88,88
51,51,54,58,61,64,67,71,73,75,77,79,80,82,84,86,87
52,52,55,59,62,66,69,71,73,76,79,81,81,84,86,87,88
54,54,57,61,65,68,71,75,77,80,82,85,86,88,89,91,92
53,53,55,59,62,66,69,72,76,78,82,83,86,88,89,90,92
52,52,55,58,62,65,69,71,74,77,79,81,82,84,86,87,88
53,53,56,60,63,66,69,71,75,78,81,83,84,86,87,89,91
51,51,55,58,61,65,68,71,75,79,81,84,86,88,90,91,93
48,49,52,56,58,60,63,65,68,70,74,75,77,79,81,82,83
51,52,55,58,60,64,67,70,73,76,78,80,82,84,86,87,89
53,53,57,60,63,67,70,74,77,81,83,85,87,88,90,91,94
50,50,54,59,61,65,67,71,73,76,79,80,82,84,86,87,89
51,51,54,57,60,64,67,71,74,76,78,82,83,84,86,88,89
